City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.12,-134.97,67.96,64,83,14.41,PF,1595269138
Avarua,-21.21,-159.78,75.2,78,100,23.04,CK,1595269139
Kifrī,34.7,44.97,96.04,8,0,8.77,IQ,1595269141
Ushuaia,-54.8,-68.3,32.0,85,0,4.7,AR,1595268880
Barrow,71.29,-156.79,33.8,86,90,10.29,US,1595269142
Duku,11.24,4.91,81.3,73,1,4.23,NG,1595269143
Qaanaaq,77.48,-69.36,47.25,74,95,0.81,GL,1595269144
Katsuura,35.13,140.3,72.77,92,100,1.01,JP,1595269145
Olafsvik,64.89,-23.71,50.67,70,16,2.19,IS,1595269145
Tuktoyaktuk,69.45,-133.04,42.8,87,90,12.75,CA,1595269145
Asău,46.43,26.4,60.01,94,76,1.88,RO,1595269146
Jaciara,-15.97,-54.97,89.8,26,0,8.39,BR,1595269146
Yibin,28.77,104.62,74.84,92,100,2.82,CN,1595269147
Paamiut,61.99,-49.67,48.7,67,100,2.84,GL,1595269148
Bethel,41.37,-73.41,88.45,58,40,10.29,US,1595269013
Zhigansk,66.77,123.37,59.85,95,100,3.47,RU,1595269152
Sittwe,20.15,92.9,81.57,81,100,4.29,MM,1595269152
Ahipara,-35.17,173.17,56.12,92,42,7.16,NZ,1595269153
Sol'-Iletsk,51.16,54.99,71.24,51,0,7.27,RU,1595269154
Butaritari,3.07,172.79,82.78,67,90,6.58,KI,1595269155
Ţibana,46.98,27.33,68.58,88,20,1.12,RO,1595269156
Bad Hofgastein,47.17,13.1,66.31,80,64,2.28,AT,1595269156
Manakara,-22.13,48.02,65.68,66,92,3.78,MG,1595269157
Saint-Louis,16.33,-15.0,102.2,37,22,7.23,SN,1595269158
Coihueco,-36.62,-71.83,55.2,87,75,12.75,CL,1595269158
Kapaa,22.08,-159.32,77.34,83,90,14.99,US,1595269160
Camacha,33.08,-16.33,73.4,60,69,20.8,PT,1595269160
Port Elizabeth,-33.92,25.57,60.8,100,0,10.29,ZA,1595269042
Kiryat Gat,31.61,34.76,79.5,64,0,7.38,IL,1595268963
Padang,-0.95,100.35,78.66,79,65,5.41,ID,1595268874
Batemans Bay,-35.72,150.18,36.0,95,0,5.73,AU,1595269163
Hammond,41.58,-87.5,84.34,51,1,5.82,US,1595268919
Vaini,-21.2,-175.2,68.0,82,20,8.05,TO,1595269086
São Filipe,14.9,-24.5,77.9,76,33,10.0,CV,1595269008
Hobart,-42.88,147.33,46.2,81,90,8.05,AU,1595269075
Punta Arenas,-53.15,-70.92,33.4,80,40,5.82,CL,1595269008
Port Hedland,-20.32,118.57,60.8,55,0,9.17,AU,1595269167
Lebu,-37.62,-73.65,54.5,81,99,11.32,CL,1595269167
Hamilton,39.18,-84.53,89.13,55,1,4.7,US,1595268921
Dakar,14.69,-17.44,86.0,74,75,6.93,SN,1595269169
Almaznyy,48.04,40.05,77.0,53,20,4.47,RU,1595269169
New Norfolk,-42.78,147.06,44.06,90,97,1.99,AU,1595269171
Cap Malheureux,-19.98,57.61,69.01,66,40,10.0,MU,1595269171
Saskylakh,71.92,114.08,51.4,64,98,4.45,RU,1595269008
Hilo,19.73,-155.09,78.48,65,90,5.82,US,1595269172
Bredasdorp,-34.53,20.04,60.8,87,0,13.87,ZA,1595269173
Beringovskiy,63.05,179.32,45.36,84,0,11.79,RU,1595269040
Santa Quitéria,-4.33,-40.16,89.44,39,77,9.17,BR,1595269174
Romny,50.75,33.47,66.11,72,63,4.61,UA,1595268909
Thompson,55.74,-97.86,77.0,36,75,9.17,CA,1595269156
Adrar,20.5,-10.07,106.32,12,23,15.03,MR,1595269174
Macusani,-14.08,-70.43,52.57,35,2,10.36,PE,1595269175
Zyryanka,65.75,150.85,64.62,54,84,13.33,RU,1595269175
Bathsheba,13.22,-59.52,86.0,70,40,19.46,BB,1595269175
Troitskoye,52.98,84.68,65.14,81,29,2.3,RU,1595269175
Walvis Bay,-22.96,14.51,77.0,17,0,9.17,NA,1595269176
Inyonga,-6.72,32.07,67.17,46,13,6.17,TZ,1595269176
Hong Kong,22.29,114.16,82.62,79,99,3.0,HK,1595268908
Salalah,17.02,54.09,80.6,94,75,4.7,OM,1595269176
Karaton,-6.34,106.1,78.4,83,20,3.36,ID,1595269176
Tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1595269177
Oyama,36.3,139.8,72.64,94,75,8.05,JP,1595269177
Upernavik,72.79,-56.15,51.53,46,10,9.46,GL,1595269177
Port Macquarie,-31.43,152.92,38.93,70,0,3.36,AU,1595269040
Lata,40.16,-8.33,84.61,23,20,5.01,PT,1595269177
Hithadhoo,-0.6,73.08,84.2,79,100,13.96,MV,1595269178
Paraíso,9.84,-83.87,79.2,57,40,14.99,CR,1595269178
Touros,-5.2,-35.46,75.2,100,75,9.17,BR,1595269178
Xiaoweizhai,26.19,107.51,69.01,95,100,3.4,CN,1595269178
Havre-St-Pierre,50.23,-63.6,75.2,83,75,12.75,CA,1595269178
Bayjī,34.93,43.49,99.75,8,0,13.53,IQ,1595269178
Port Lincoln,-34.73,135.87,53.15,63,54,5.06,AU,1595269179
Chicama,-7.84,-79.15,71.89,58,54,10.36,PE,1595269179
Partyzany,46.33,34.75,73.96,70,55,3.94,UA,1595269179
Faya,18.39,42.45,68.0,64,93,6.93,SA,1595269034
Pevek,69.7,170.31,45.75,58,0,3.2,RU,1595269180
Baykit,61.67,96.37,49.91,86,33,3.27,RU,1595269180
Cherskiy,68.75,161.3,65.8,51,57,3.85,RU,1595269180
Vostok,46.49,135.88,58.91,100,100,2.68,RU,1595269181
Oruzgan,32.83,66.0,70.45,22,0,8.05,AF,1595269182
Oddur,4.12,43.89,77.58,49,61,16.2,SO,1595269182
Urusha,54.05,122.9,50.36,96,22,2.3,RU,1595269183
La Ronge,55.1,-105.28,68.0,68,75,8.05,CA,1595269183
Rawson,-43.3,-65.1,46.35,76,100,17.94,AR,1595269184
Longyearbyen,78.22,15.64,44.6,87,75,3.36,SJ,1595269049
Deputatsky,69.3,139.9,56.28,88,50,1.48,RU,1595269185
Saint-Philippe,-21.36,55.77,61.95,64,68,16.11,RE,1595269186
Tevaitoa,-16.78,-151.5,77.79,82,66,24.56,PF,1595269187
Khanbari,27.37,87.2,72.28,77,100,1.05,NP,1595269027
Yellowknife,62.46,-114.35,72.5,64,75,4.7,CA,1595269189
Rørvik,64.86,11.24,57.2,67,40,10.29,NO,1595269190
Ghanzi,-21.57,21.78,55.8,37,0,7.99,BW,1595269190
Krasnoural'sk,58.36,60.04,60.62,69,95,10.83,RU,1595269191
Porto Velho,-8.76,-63.9,93.2,41,40,8.05,BR,1595268951
Acajutla,13.59,-89.83,85.14,51,20,2.24,SV,1595269192
Kodinsk,58.69,99.18,49.55,74,61,2.3,RU,1595269193
Poum,-20.23,164.02,69.64,61,7,12.15,NC,1595269193
Misratah,32.38,15.09,79.3,64,0,10.83,LY,1595269193
Hirado,33.36,129.55,81.0,82,80,5.01,JP,1595269193
Talnakh,69.49,88.4,50.0,100,90,8.95,RU,1595269193
Sinnamary,5.38,-52.95,82.38,80,58,8.68,GF,1595269193
Sheridan,44.83,-106.92,75.06,36,1,23.04,US,1595269193
Torbay,47.67,-52.73,78.12,57,75,17.22,CA,1595269193
Geraldton,-28.77,114.6,46.4,81,0,11.41,AU,1595269194
Ponta do Sol,32.67,-17.1,70.63,63,0,3.0,PT,1595269017
Alnashi,56.19,52.48,62.24,91,35,5.75,RU,1595269194
San Andrés,12.58,-81.7,87.8,70,75,10.29,CO,1595269194
Castro,-24.79,-50.01,69.89,57,0,7.09,BR,1595269161
Sitka,57.05,-135.33,57.2,93,90,11.41,US,1595269194
Tiksi,71.69,128.87,46.02,86,100,14.36,RU,1595269012
Kununurra,-15.77,128.73,69.8,26,5,6.93,AU,1595269195
Warrnambool,-38.38,142.48,45.0,95,85,9.51,AU,1595269195
Yangi Marg`ilon,40.43,71.72,77.0,36,60,6.93,UZ,1595269195
Esperance,-33.87,121.9,50.0,81,90,5.82,AU,1595269195
Charlestown,-32.95,151.67,44.31,65,0,6.55,AU,1595269195
Eyl,7.98,49.82,82.76,52,24,15.99,SO,1595269031
Semnan,35.57,53.4,84.65,25,0,7.67,IR,1595269196
Auki,-8.77,160.7,76.6,87,13,5.82,SB,1595268907
Lewiston,44.1,-70.21,89.24,58,20,6.93,US,1595268924
Homer,59.64,-151.55,58.01,82,75,3.36,US,1595269051
Mahébourg,-20.41,57.7,69.8,60,75,10.29,MU,1595269196
Gemona,46.28,13.14,78.64,67,63,1.01,IT,1595269196
Mar del Plata,-38.0,-57.56,51.8,100,90,14.99,AR,1595269035
Kaeo,-35.1,173.78,52.0,3,53,5.61,NZ,1595269197
Khilok,51.37,110.47,44.64,73,22,3.42,RU,1595269197
Husavik,66.04,-17.34,51.8,66,86,12.75,IS,1595269197
Berlevåg,70.86,29.09,53.53,93,96,10.83,NO,1595269197
Araouane,18.9,-3.53,105.13,18,50,2.64,ML,1595269197
Neuquén,-38.95,-68.06,48.2,87,75,6.93,AR,1595269197
Fomboni,-12.28,43.74,76.26,70,5,12.39,KM,1595269198
Tezu,27.92,96.17,73.83,87,100,3.67,IN,1595269198
Ko Samui,9.54,99.94,85.37,69,87,5.17,TH,1595269198
Goderich,43.75,-81.72,72.63,82,19,5.01,CA,1595269198
Lompoc,34.64,-120.46,61.74,77,27,10.29,US,1595269198
Stokmarknes,68.56,14.91,56.48,82,75,2.24,NO,1595269198
Krasnyy Kut,50.95,46.97,69.31,60,20,8.21,RU,1595269199
Craig,40.52,-107.55,81.01,17,1,9.91,US,1595269199
Racalmuto,37.41,13.73,73.99,61,0,1.01,IT,1595269199
Pandamatenga,-18.53,25.63,54.39,42,0,2.42,BW,1595269199
Kindersley,51.47,-109.17,66.2,72,40,11.41,CA,1595269199
Singaraja,-8.11,115.09,79.3,78,69,3.6,ID,1595269181
Khovd,48.01,91.64,69.76,50,50,3.98,MN,1595269200
Merrill,45.18,-89.68,71.44,53,1,6.93,US,1595269200
Ossora,59.24,163.07,50.88,90,100,9.31,RU,1595269200
Kaitangata,-46.28,169.85,51.01,62,100,5.01,NZ,1595269200
Kavaratti,10.57,72.64,82.38,80,100,25.37,IN,1595269200
Loukhi,66.08,33.04,68.43,67,87,5.46,RU,1595269200
Verkhnevilyuysk,63.45,120.32,63.91,96,100,6.69,RU,1595269200
Novopetrovskoye,55.99,36.47,64.4,72,40,6.71,RU,1595269201
Riyadh,24.69,46.72,102.2,12,95,8.05,SA,1595269114
Clyde River,70.47,-68.59,42.8,100,90,12.75,CA,1595269201
Potosí,-19.58,-65.75,59.34,23,97,7.7,BO,1595269201
Praia,14.92,-23.51,84.2,66,75,6.93,CV,1595269083
Karratha,-20.74,116.85,67.6,49,0,13.22,AU,1595269201
Porto Empedocle,37.29,13.53,73.99,61,0,1.01,IT,1595269202
Methóni,36.82,21.7,81.32,51,0,16.82,GR,1595269202
San Ramon,37.78,-121.98,66.61,56,1,10.29,US,1595268920
Voyvozh,62.89,54.96,56.88,71,0,5.82,RU,1595269144
Kuzino,57.02,59.44,61.23,93,95,10.4,RU,1595269202
Tessalit,20.2,1.01,106.07,12,18,9.48,ML,1595269145
Vao,-22.67,167.48,68.88,64,2,13.11,NC,1595269169
Moate,53.55,-7.72,63.0,63,75,6.13,IE,1595269203
Lere,10.39,8.57,71.73,88,99,4.45,NG,1595269203
Haapiti,-17.57,-149.87,75.09,83,20,3.36,PF,1595269203
Serebryanyy Bor,56.8,124.8,55.99,94,98,4.65,RU,1595269203
Khanpur,28.65,70.66,98.56,45,0,24.79,PK,1595269203
Mbaïki,3.87,17.99,69.87,98,99,2.51,CF,1595269203
Lázaro Cárdenas,17.96,-102.2,89.08,59,11,5.14,MX,1595269203
Shimoda,34.67,138.95,71.01,96,100,5.64,JP,1595269204
Kloulklubed,7.04,134.26,75.2,94,40,3.65,PW,1595269204
Matiri,-10.75,34.9,54.55,58,4,3.24,TZ,1595269204
Kahului,20.89,-156.47,77.63,58,40,18.34,US,1595269022
Bilibino,68.05,166.44,60.22,47,2,2.57,RU,1595269204
Petropavlivka,48.46,36.44,70.43,65,37,6.11,UA,1595269204
Ostrovnoy,68.05,39.51,70.25,60,69,8.5,RU,1595269204
Carnarvon,-24.87,113.63,55.4,71,0,8.05,AU,1595269013
Port Alfred,-33.59,26.89,60.13,61,0,4.94,ZA,1595269205
College,64.86,-147.8,63.84,59,40,2.73,US,1595269205
Aykhal,66.0,111.5,53.6,93,90,6.71,RU,1595269205
Kānt,27.8,79.8,82.29,79,60,13.02,IN,1595269205
Usogorsk,63.41,48.69,63.64,65,12,6.71,RU,1595269145
Praia,14.92,-23.51,84.2,66,75,6.93,CV,1595269205
Te Anau,-45.42,167.72,42.13,89,89,2.82,NZ,1595269030
Kanelovskaya,46.59,39.19,75.96,59,94,3.78,RU,1595269205
Alta Floresta,-9.88,-56.09,95.0,26,75,8.05,BR,1595269205
Bambous Virieux,-20.34,57.76,69.44,60,75,10.29,MU,1595269206
Hailey,43.52,-114.32,77.0,33,5,6.93,US,1595269206
Port Hardy,50.7,-127.42,60.8,87,75,12.75,CA,1595269206
Onguday,50.75,86.15,59.38,80,100,1.19,RU,1595269206
Ilām,26.92,87.92,64.9,96,100,0.49,NP,1595269206
Atuona,-9.8,-139.03,79.9,79,14,18.99,PF,1595268907
Mackay,-21.15,149.2,49.21,93,86,5.82,AU,1595269207
Fortuna,40.6,-124.16,56.68,100,90,6.93,US,1595269207
Makakilo City,21.35,-158.09,78.75,61,90,6.93,US,1595269207
Kuala Lipis,4.18,102.05,74.05,95,47,0.94,MY,1595269207
Kavieng,-2.57,150.8,81.52,76,33,4.47,PG,1595269207
Provideniya,64.38,-173.3,46.8,72,63,4.14,RU,1595269207
Klaksvík,62.23,-6.59,50.0,93,85,13.87,FO,1595269021
Cabo San Lucas,22.89,-109.91,89.92,46,5,17.22,MX,1595269018
Constitución,-35.33,-72.42,56.28,78,46,11.77,CL,1595269157
Kostomuksha,64.57,30.58,67.68,70,77,3.49,RU,1595269208
Oranjestad,12.52,-70.03,91.4,59,20,23.04,AW,1595269208
Port-Gentil,-0.72,8.78,78.8,74,40,10.51,GA,1595269208
Ambulu,-8.35,113.61,74.59,89,52,3.36,ID,1595269208
Dhārchula,29.85,80.53,69.06,72,96,1.14,IN,1595269208
Mount Gambier,-37.83,140.77,44.6,100,90,8.05,AU,1595269159
Antalaha,-14.9,50.28,67.55,83,12,11.07,MG,1595269208
Wołomin,52.34,21.24,69.01,71,83,8.01,PL,1595269208
Whyalla,-33.03,137.58,37.4,100,95,4.7,AU,1595269209
East London,-33.02,27.91,66.47,41,0,2.19,ZA,1595269150
Mehamn,71.04,27.85,48.2,100,90,8.05,NO,1595269209
Kimbe,-5.55,150.14,75.15,87,3,4.63,PG,1595269209
Puerto del Rosario,28.5,-13.86,82.4,58,20,18.34,ES,1595269070
Vila Franca do Campo,37.72,-25.43,75.2,57,75,9.17,PT,1595269209
Pisco,-13.7,-76.22,61.32,87,90,6.93,PE,1595269176
Sumbe,-11.21,13.84,71.24,86,0,5.84,AO,1595269209
Fier,40.72,19.56,70.66,76,0,5.91,AL,1595269210
Kieta,-6.22,155.63,77.23,78,50,4.76,PG,1595269210
Pointe Michel,15.25,-61.38,86.0,66,75,6.93,DM,1595269210
Marawi,8.0,124.29,75.99,90,97,7.0,PH,1595269210
Casian,11.04,119.71,83.19,74,54,6.8,PH,1595269210
Perth,-31.93,115.83,50.5,71,33,11.41,AU,1595269210
Buala,-8.14,159.59,78.57,84,30,6.26,SB,1595269211
Agüimes,27.91,-15.45,77.45,61,20,36.91,ES,1595269211
Taoudenni,22.68,-3.98,113.32,9,4,7.61,ML,1595269211
Faanui,-16.48,-151.75,77.38,84,49,24.36,PF,1595269211
George Town,5.41,100.34,78.4,94,20,2.24,MY,1595269008
Saint George,37.1,-113.58,99.16,13,1,13.87,US,1595269197
Labuhan,-6.88,112.21,77.34,87,71,7.52,ID,1595269211
Gwanda,-20.93,29.0,53.69,71,0,7.49,ZW,1595269211
Borogontsy,62.67,131.17,70.18,58,100,13.11,RU,1595269212
Hofn,64.25,-15.21,53.6,76,20,6.93,IS,1595269212
Fort Atkinson,42.93,-88.84,79.14,59,30,1.01,US,1595268912
Salina Cruz,16.17,-95.2,92.66,50,77,1.86,MX,1595269212
Ilulissat,69.22,-51.1,57.2,41,75,4.7,GL,1595269029
Berdigestyakh,62.1,126.7,64.26,96,100,5.61,RU,1595269212
Radstadt,47.38,13.45,64.0,82,71,2.55,AT,1595269213
Turka,49.15,23.03,58.69,98,44,13.0,UA,1595269213
Kiruna,67.86,20.23,59.0,93,100,9.17,SE,1595269213
Arrondissement de Mont-de-Marsan,44.0,-0.67,79.72,45,0,10.29,FR,1595269213
Belaya Gora,68.53,146.42,64.89,58,84,6.31,RU,1595269213
Ancud,-41.87,-73.82,53.6,76,96,4.7,CL,1595269213
Chifeng,42.27,118.96,70.34,49,69,6.06,CN,1595269213
Sistranda,63.73,8.83,55.2,71,75,14.99,NO,1595269213
Codrington,-38.27,141.97,49.87,78,84,6.42,AU,1595269214
Campos dos Goytacazes,-21.75,-41.3,78.8,61,0,13.87,BR,1595269214
Lazarev,52.23,141.51,57.38,93,100,9.93,RU,1595269214
Pangnirtung,66.15,-65.71,44.6,100,90,13.87,CA,1595269178
Hammerfest,70.66,23.68,53.6,93,75,12.75,NO,1595269214
Sawākin,19.11,37.33,97.68,28,84,8.12,SD,1595269036
Syracuse,37.09,15.28,80.56,57,40,8.05,IT,1595269214
Show Low,34.25,-110.03,82.65,14,1,10.29,US,1595269084
Natal,-5.79,-35.21,75.2,100,75,9.17,BR,1595269215
San Marco in Lamis,41.71,15.64,80.6,47,5,10.29,IT,1595269215
Huarmey,-10.07,-78.15,67.17,66,62,10.11,PE,1595269215
Villa Carlos Paz,-31.42,-64.5,51.8,93,90,11.41,AR,1595269215
Lavumisa,-27.31,31.89,64.4,63,0,4.7,SZ,1595269215
Lüderitz,-26.65,15.16,69.8,30,0,4.7,NA,1595269161
Muhafazat Lahij,13.17,44.58,91.63,35,78,12.77,YE,1595269215
Krasnosel'kup,65.7,82.47,52.63,69,65,10.02,RU,1595269216
Airai,-8.93,125.41,54.9,89,13,2.24,TL,1595269141
Doha,25.29,51.53,97.27,63,37,3.36,QA,1595269174
Cidreira,-30.18,-50.21,74.77,65,9,2.86,BR,1595269147
Acapulco de Juárez,16.86,-99.89,87.8,70,75,9.17,MX,1595269212
Srednekolymsk,67.45,153.68,66.16,54,99,10.89,RU,1595269216
Marsh Harbour,26.54,-77.06,84.72,68,0,15.46,BS,1595269216
Kalmunai,7.42,81.82,81.3,80,100,7.09,LK,1595269023
Chachapoyas,-6.23,-77.87,68.05,54,45,6.33,PE,1595269217
Abu Samrah,35.3,37.18,83.12,33,0,10.45,SY,1595269217
Cravo Norte,6.3,-70.2,77.04,87,98,8.12,CO,1595269217
Bengkulu,-3.8,102.27,77.56,86,93,6.64,ID,1595269005
Mīnāb,27.15,57.08,96.8,63,20,9.17,IR,1595269017
Mossamedes,-15.2,12.15,68.76,66,1,6.4,AO,1595269217
Wawa,9.9,4.42,80.69,79,46,4.85,NG,1595269217
Egvekinot,66.32,-179.17,43.16,76,35,5.7,RU,1595269217
Menongue,-14.66,17.69,58.21,40,1,4.0,AO,1595269218
Zhangjiakou Shi Xuanhua Qu,40.61,115.04,74.66,53,96,3.47,CN,1595269218
Umluj,25.02,37.27,86.32,62,4,6.53,SA,1595269028
Oranjemund,-28.55,16.43,65.52,36,0,3.56,NA,1595269218
San Patricio,19.22,-104.7,91.4,63,20,11.41,MX,1595269218
Herat Province,34.5,62.0,89.6,17,0,20.8,AF,1595269218
Severo-Kuril'sk,50.68,156.12,48.49,85,18,4.16,RU,1595269218
Cockburn Town,21.46,-71.14,87.8,62,40,13.87,TC,1595269219
Okha,53.57,142.95,52.07,93,100,14.03,RU,1595269219
Jijiga,9.35,42.8,65.37,70,33,12.1,ET,1595269219
Okhotsk,59.38,143.3,55.78,90,99,1.9,RU,1595269219
Nokaneng,-19.67,22.27,60.55,32,0,6.67,BW,1595269219
Ternate,0.8,127.4,79.65,79,11,3.02,ID,1595269004
Mil'kovo,54.72,158.62,49.14,88,81,3.11,RU,1595269220
Visby,57.64,18.3,67.53,77,97,11.41,SE,1595269220
Uribia,11.71,-72.27,94.64,44,90,17.74,CO,1595269220
Palafrugell,41.92,3.16,77.23,53,36,12.46,ES,1595268932
Bairiki Village,1.33,172.98,82.4,78,20,4.7,KI,1595269220
Calahorra,42.31,-1.97,93.18,36,20,4.7,ES,1595269220
Strezhevoy,60.73,77.59,59.0,72,69,8.95,RU,1595269220
Chapais,49.78,-74.85,53.6,93,90,13.87,CA,1595269221
Wajir,1.75,40.06,86.0,40,100,19.95,KE,1595269221
Opuwo,-18.06,13.84,61.95,31,0,8.37,NA,1595269221
Ucluelet,48.93,-125.55,66.04,82,5,4.7,CA,1595269065
Palkino,57.54,28.01,71.6,56,46,2.24,RU,1595269221
Udachny,66.42,112.4,53.6,93,90,6.71,RU,1595269221
Korla,41.76,86.15,70.48,52,20,6.22,CN,1595269221
Alenquer,-1.94,-54.74,89.6,62,20,10.29,BR,1595269221
Hobyo,5.35,48.53,78.31,71,83,28.03,SO,1595269221
Morgantown,39.63,-79.96,87.58,38,40,9.17,US,1595269191
Coolum Beach,-26.53,153.1,57.36,72,100,1.99,AU,1595269222
‘Ewa Beach,21.32,-158.01,78.8,61,90,6.93,US,1595269222
Tazovsky,67.47,78.7,53.42,62,100,9.71,RU,1595269222
Rio Grande,-32.03,-52.1,87.8,40,56,8.05,BR,1595269026
Alice Springs,-23.7,133.88,51.8,81,90,8.05,AU,1595269222
Hibbing,47.43,-92.94,69.03,46,75,5.82,US,1595269222
Monte Patria,-30.69,-70.95,63.25,50,40,4.59,CL,1595269222
Sola,-13.88,167.55,76.39,73,82,15.48,VU,1595269222
Celestún,20.87,-90.4,83.59,73,90,8.68,MX,1595269223
Nalvo,16.81,120.51,73.17,81,52,4.03,PH,1595269223
Ridgecrest,35.62,-117.67,96.17,15,1,4.7,US,1595269008
Along,28.17,94.77,72.37,91,100,0.27,IN,1595269223
Punto Fijo,11.7,-70.2,89.55,57,3,25.08,VE,1595269223
Leshukonskoye,64.9,45.76,64.47,69,0,4.54,RU,1595269223
Måløy,61.94,5.11,53.04,76,75,9.17,NO,1595269223
Villarrica,-25.75,-56.43,82.6,49,0,7.49,PY,1595269224
Arlit,18.74,7.39,100.42,18,27,11.63,NE,1595269024
Charleston,32.78,-79.93,92.17,70,1,8.05,US,1595269053
Saint Paul Harbor,57.79,-152.41,66.2,59,1,6.93,US,1595269139
Dhilwan,31.52,75.35,77.0,94,90,2.24,IN,1595269224
Cape Coast,5.11,-1.25,76.21,89,77,10.63,GH,1595269224
Kaura Namoda,12.59,6.58,87.76,50,27,7.34,NG,1595269224
Ada,43.42,-116.13,82.83,34,1,10.29,US,1595269225
São Gabriel da Cachoeira,-0.13,-67.09,86.0,70,40,4.7,BR,1595269225
Falam,22.92,93.68,62.46,100,100,3.94,MM,1595269225
Znamenskoye,57.13,73.83,55.29,83,29,6.67,RU,1595269225
Fuling,29.7,107.39,75.11,78,100,3.65,CN,1595269225
Khatanga,71.97,102.5,51.42,70,60,6.44,RU,1595269225
Amuntai,-2.42,115.25,73.69,94,0,0.89,ID,1595269226
Meulaboh,4.14,96.13,78.69,85,100,3.96,ID,1595269226
Lagoa,39.05,-27.98,69.57,70,16,4.32,PT,1595269226
Narsaq,60.92,-46.05,68.0,40,40,11.41,GL,1595269226
Yeppoon,-23.13,150.73,50.0,81,92,1.12,AU,1595269206
Port Blair,11.67,92.75,81.75,77,100,3.49,IN,1595269227
Yuli,9.7,10.27,75.96,86,77,3.47,NG,1595269227
Ilo,-17.64,-71.34,64.4,77,75,6.93,PE,1595269227
Kisangani,0.52,25.2,75.76,61,8,1.28,CD,1595269227
Kabwe,-14.45,28.45,54.09,64,3,4.29,ZM,1595269227
Batagay,67.63,134.63,64.49,81,3,2.95,RU,1595269142
Tari,12.41,4.49,90.23,47,15,6.08,NG,1595269228
Muisne,0.6,-80.03,82.4,78,90,5.82,EC,1595269228
Kita,13.03,-9.49,78.82,84,79,1.74,ML,1595269228
Uauá,-9.84,-39.48,82.29,39,68,19.55,BR,1595269228
Samarai,-10.62,150.67,76.33,83,97,16.78,PG,1595269228
Cabedelo,-6.98,-34.83,80.6,74,75,16.11,BR,1595269228
Gorin,51.2,136.67,66.78,97,100,5.08,RU,1595269228
Koumac,-20.57,164.28,63.93,68,10,4.32,NC,1595269229
Lashio,22.93,97.75,68.29,98,100,1.36,MM,1595269229
Seoul,37.57,126.98,72.84,83,90,2.8,KR,1595269097
Ponferrada,42.55,-6.6,87.37,43,15,7.0,ES,1595269229
Pailón,-17.65,-62.75,86.88,62,75,18.34,BO,1595269229
Jizan,17.33,42.67,91.4,55,40,18.34,SA,1595269229
Mayo,38.89,-76.51,94.51,47,1,5.82,US,1595269229
San Juan de las Huertas,19.25,-99.76,68.0,45,40,4.7,MX,1595269230
Kruisfontein,-34.0,24.73,58.39,96,13,3.56,ZA,1595269230
Vilhena,-12.74,-60.15,86.0,37,100,10.29,BR,1595269230
Henties Bay,-22.12,14.28,68.05,37,0,8.68,NA,1595269230
Portland,45.52,-122.68,77.9,57,1,10.29,US,1595269145
Slave Lake,55.28,-114.77,64.4,82,1,6.93,CA,1595269230
Basco,20.45,121.97,84.99,77,2,12.12,PH,1595269230
Phang Nga,8.45,98.53,78.17,94,20,1.12,TH,1595269231
Ambunti,-4.24,142.84,72.45,97,63,0.65,PG,1595269231
